xmin,ymin,xmax,ymax,Text
2373,2430,2502,2412,\W1.000761;64.30 ROW
2505,2399,2520,2380,\W1.001176;C
2510,2404,2521,2386,\W1.001329;L
2491,2520,2538,2502,\W1.000924;6.00
2468,2553,2561,2535,\W1.000937;MEDIAN
1557,2549,1603,2531,\W1.001136;0.60
3426,2555,3472,2537,\W1.001136;0.60
1762,2597,1808,2579,\W1.001221;3.65
1754,2629,1816,2612,\W1.000748;LANE
1971,2597,2018,2579,\W1.001221;3.65
1963,2629,2025,2612,\W1.000748;LANE
1965,2520,2024,2502,\W1.001052;10.95
2802,2597,2848,2579,\W1.001221;3.65
2794,2629,2856,2612,\W1.000748;LANE
3011,2597,3058,2579,\W1.001221;3.65
3003,2629,3065,2612,\W1.000748;LANE
3005,2520,3064,2502,\W1.001052;10.95
3220,2597,3267,2579,\W1.001221;3.65
3213,2629,3275,2612,\W1.000748;LANE
2180,2597,2227,2579,\W1.001221;3.65
2172,2629,2235,2612,\W1.000748;LANE
3854,2597,3913,2579,\W1.001082;17.50
1273,2640,1332,2622,\W1.001082;12.00
2302,2597,2348,2579,\W1.001136;0.60
2680,2597,2727,2579,\W1.001136;0.60
1876,2550,2211,2531,\W1.000790;PROPOSED CARRIAGEWAY
2912,2550,3246,2531,\W1.000790;PROPOSED CARRIAGEWAY
2911,3174,2988,3155,\W1.001079;-2.00%
2063,3163,2140,3144,\W1.001079;-2.00%
1654,2769,1673,2631,\W1.001104;SHOULDER
3356,2767,3375,2630,\W1.001104;SHOULDER
2316,2769,2335,2631,\W1.001104;SHOULDER
2694,2767,2713,2630,\W1.001104;SHOULDER
1104,2674,1437,2655,\W1.000834;SIDE WALK / LANDSCAPING
3756,2630,4090,2612,\W1.000834;SIDE WALK / LANDSCAPING
820,2642,868,2623,\W1.001212;4.00
739,2679,945,2660,\W1.000678;JOGGING TRACK
592,2642,638,2623,\W1.001136;0.50
831,3160,908,3141,\W1.001079;-2.00%
836,2745,852,2726,\W1.001176;C
843,2754,854,2736,\W1.001329;L
601,2748,648,2730,\W1.000851;2.65
354,2642,400,2623,\W1.000924;6.10
278,2672,475,2653,\W1.000773;BICYCLE TRACK
271,2832,316,2814,\W1.001113;FRL
362,2712,378,2693,\W1.001176;C
368,2722,379,2704,\W1.001329;L
2438,2334,2906,2304,\W1.000690;NOT IN THIS CONTRACT
2434,3811,2604,3790,\W1.000914;SECTION 9-9
1385,3714,1404,3511,\W1.000777;ETISALAT &amp; EITC
2518,3715,2535,3604,\W1.000797;TREE PIT
2491,3715,2510,3472,\W1.000828;STREET LIGHTING +
4427,3384,4474,3366,\W1.001136;0.60
4302,3384,4349,3366,\W1.001136;0.90
4249,3384,4293,3366,\W1.001125;1.00
4197,3417,4242,3398,\W1.001125;1.20
4090,3383,4137,3365,\W1.000887;2.50
4358,3714,4382,3588,\W1.000716;DEWA (LV)
4300,3714,4323,3584,\W1.000625;DEWA(WD)
4262,3715,4285,3565,\W1.000792;SEWER (HC)
4205,3714,4224,3511,\W1.000777;ETISALAT &amp; EITC
4097,3714,4121,3568,\W1.000726;DEWA(11kV)
3274,3383,3320,3365,\W1.001259;3.00
3832,3382,3879,3364,\W1.000887;2.50
3285,3715,3304,3528,\W1.000857;SWD MANHOLE
3422,3715,3440,3391,\W1.000770;TREE PIT + FIRE HYDRANT
3716,3715,3734,3495,\W1.000857;SEWER MANHOLE
1018,2966,1077,2948,\W1.001082;12.10
1537,3714,1560,3568,\W1.000726;DEWA(11kV)
3527,3714,3551,3554,\W1.000745;DEWA(132kV)
3403,3383,3448,3365,\W1.001125;1.50
1044,2925,1102,2907,\W1.001082;13.00
3703,3382,3750,3364,\W1.000887;2.00
4192,3252,4239,3234,\W1.001136;0.20
3839,3714,3862,3568,\W1.000726;DEWA(11kV)
3517,3382,3564,3364,\W1.000887;2.50
2181,3853,2603,3833,\W1.000855;TYPICAL CROSS SECTION FOR
2620,3853,2873,3833,\W1.000843;64.30m CORRIDOR
4392,1999,4406,1780,\W1.000796;R.O.W / BUILDING LINE
678,1978,693,1760,\W1.000796;R.O.W / BUILDING LINE
2450,1731,2579,1712,\W1.000761;64.30 ROW
2272,2121,2687,2100,\W1.000756;EXISTING CROSS SECTION 9-9
2284,2173,2681,2153,\W1.000715;CORRIDOR WIDTH OF 64.30m
2464,664,2509,647,\W1.000924;6.00
2658,664,2703,647,\W1.001136;0.60
2983,664,3039,647,\W1.001052;10.95
2463,603,2521,585,\W1.000928;61.00
2433,625,2541,611,\W1.000956;CORRIDOR
2423,1090,2440,1047,\W1.001125;1.20
2469,1193,2512,1176,\W1.001125;1.00
2383,1220,2428,1202,\W1.001259;3.00
2520,1169,2565,1151,\W1.001136;0.80
3394,664,3439,647,\W1.000887;2.00
4132,1193,4175,1176,\W1.001125;1.00
4094,1129,4111,1086,\W1.001125;1.50
4054,1121,4072,1078,\W1.001125;1.20
3988,1243,4031,1225,\W1.001125;1.20
