uid,parent,type,description,xmin,ymin,xmax,ymax
0,None,project,cycle_jogging_project,None,None,None,None
1,0,file,Design,None,None,None,None
2,1,document,CrossSections_and_markers-8.csv,None,None,None,None
3,2,text,64.30 ROW,2373,2412,2502,2430
4,2,text,6.00,2491,2502,2538,2520
5,2,text,MEDIAN,2468,2535,2561,2553
6,2,text,0.60,1557,2531,1603,2549
7,2,text,0.60,3426,2537,3472,2555
8,2,text,3.65,1762,2579,1808,2597
9,2,text,LANE,1754,2612,1816,2629
10,2,text,3.65,1971,2579,2018,2597
11,2,text,LANE,1963,2612,2025,2629
12,2,text,10.95,1965,2502,2024,2520
13,2,text,3.65,2802,2579,2848,2597
14,2,text,LANE,2794,2612,2856,2629
15,2,text,3.65,3011,2579,3058,2597
16,2,text,LANE,3003,2612,3065,2629
17,2,text,10.95,3005,2502,3064,2520
18,2,text,3.65,3220,2579,3267,2597
19,2,text,LANE,3213,2612,3275,2629
20,2,text,3.65,2180,2579,2227,2597
21,2,text,LANE,2172,2612,2235,2629
22,2,text,17.50,3854,2579,3913,2597
23,2,text,12.00,1273,2622,1332,2640
25,2,text,0.60,2680,2579,2727,2597
24,2,text,0.60,2302,2579,2348,2597
26,2,text,PROPOSED CARRIAGEWAY,1876,2531,2211,2550
27,2,text,PROPOSED CARRIAGEWAY,2912,2531,3246,2550
28,2,text,-2.00%,2911,3155,2988,3174
29,2,text,-2.00%,2063,3144,2140,3163
30,2,text,SHOULDER,1654,2631,1673,2769
31,2,text,SHOULDER,3356,2630,3375,2767
32,2,text,SHOULDER,2316,2631,2335,2769
33,2,text,SHOULDER,2694,2630,2713,2767
34,2,text,SIDE WALK / LANDSCAPING,1104,2655,1437,2674
35,2,text,SIDE WALK / LANDSCAPING,3756,2612,4090,2630
36,2,text,4.00,820,2623,868,2642
37,2,text,JOGGING TRACK,739,2660,945,2679
38,2,text,0.50,592,2623,638,2642
39,2,text,-2.00%,831,3141,908,3160
40,2,text,2.65,601,2730,648,2748
41,2,text,6.10,354,2623,400,2642
42,2,text,BICYCLE TRACK,278,2653,475,2672
43,2,text,FRL,271,2814,316,2832
44,2,text,NOT IN THIS CONTRACT,2438,2304,2906,2334
45,2,text,SECTION 9-9,2434,3790,2604,3811
46,2,text,ETISALAT &amp EITC,1385,3511,1404,3714
47,2,text,TREE PIT,2518,3604,2535,3715
48,2,text,STREET LIGHTING +,2491,3472,2510,3715
49,2,text,0.60,4427,3366,4474,3384
50,2,text,0.90,4302,3366,4349,3384
51,2,text,1.00,4249,3366,4293,3384
52,2,text,1.20,4197,3398,4242,3417
53,2,text,2.50,4090,3365,4137,3383
54,2,text,DEWA (LV),4358,3588,4382,3714
55,2,text,DEWA(WD),4300,3584,4323,3714
56,2,text,SEWER (HC),4262,3565,4285,3715
57,2,text,ETISALAT &amp EITC,4205,3511,4224,3714
58,2,text,DEWA(11kV),4097,3568,4121,3714
59,2,text,3.00,3274,3365,3320,3383
60,2,text,2.50,3832,3364,3879,3382
61,2,text,SWD MANHOLE,3285,3528,3304,3715
62,2,text,TREE PIT + FIRE HYDRANT,3422,3391,3440,3715
63,2,text,SEWER MANHOLE,3716,3495,3734,3715
64,2,text,12.10,1018,2948,1077,2966
65,2,text,DEWA(11kV),1537,3568,1560,3714
66,2,text,DEWA(132kV),3527,3554,3551,3714
67,2,text,1.50,3403,3365,3448,3383
68,2,text,13.00,1044,2907,1102,2925
69,2,text,2.00,3703,3364,3750,3382
70,2,text,0.20,4192,3234,4239,3252
71,2,text,DEWA(11kV),3839,3568,3862,3714
