xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
0.39,0.77,0.41,0.77,0.42,0.77,0.37,0.76,0.4,0.76,0.44,0.76,0.4,0.76,0.41,0.76,0.41,0.76,0
0.39,0.77,0.41,0.77,0.43,0.77,0.37,0.76,0.4,0.76,0.44,0.76,0.4,0.76,0.41,0.76,0.41,0.76,0
0.54,0.77,0.55,0.77,0.56,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.54,0.76,0.55,0.76,0.56,0.76,0
0.54,0.77,0.55,0.77,0.56,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.5,0.22,0.5,0.22,0.51,0.22,0
0.54,0.77,0.55,0.77,0.56,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.52,0.21,0.52,0.21,0.52,0.21,0
0.54,0.77,0.55,0.77,0.56,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.48,0.21,0.48,0.21,0.49,0.21,0
0.54,0.77,0.55,0.77,0.56,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.49,0.25,0.49,0.25,0.5,0.25,0
0.54,0.77,0.55,0.77,0.56,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.5,0.25,0.51,0.25,0.52,0.25,0
0.54,0.77,0.55,0.77,0.56,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.52,0.08,0.52,0.08,0.53,0.08,0
0.54,0.77,0.55,0.77,0.56,0.77,0.49,0.08,0.71,0.08,0.93,0.08,0.7,0.07,0.71,0.07,0.71,0.07,0
0.53,0.77,0.55,0.77,0.57,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.54,0.76,0.55,0.76,0.56,0.76,0
0.53,0.77,0.55,0.77,0.57,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.5,0.22,0.5,0.22,0.51,0.22,0
0.53,0.77,0.55,0.77,0.57,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.52,0.21,0.52,0.21,0.52,0.21,0
0.53,0.77,0.55,0.77,0.57,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.48,0.21,0.48,0.21,0.49,0.21,0
0.53,0.77,0.55,0.77,0.57,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.49,0.25,0.49,0.25,0.5,0.25,0
0.53,0.77,0.55,0.77,0.57,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.5,0.25,0.51,0.25,0.52,0.25,0
0.53,0.77,0.55,0.77,0.57,0.77,0.48,0.76,0.55,0.76,0.62,0.76,0.52,0.08,0.52,0.08,0.53,0.08,0
0.53,0.77,0.55,0.77,0.57,0.77,0.49,0.08,0.71,0.08,0.93,0.08,0.7,0.07,0.71,0.07,0.71,0.07,0
0.38,0.79,0.39,0.79,0.4,0.79,0.37,0.79,0.39,0.79,0.41,0.79,0.38,0.78,0.39,0.78,0.39,0.78,0
0.38,0.79,0.39,0.79,0.4,0.79,0.37,0.76,0.4,0.76,0.44,0.76,0.4,0.76,0.41,0.76,0.41,0.76,0
0.42,0.79,0.42,0.79,0.43,0.79,0.41,0.79,0.42,0.79,0.44,0.79,0.42,0.78,0.42,0.78,0.43,0.78,0
0.42,0.79,0.42,0.79,0.43,0.79,0.37,0.76,0.4,0.76,0.44,0.76,0.4,0.76,0.41,0.76,0.41,0.76,0
0.42,0.79,0.42,0.79,0.43,0.79,0.41,0.81,0.47,0.81,0.53,0.81,0.46,0.75,0.46,0.75,0.47,0.75,0
0.42,0.79,0.42,0.79,0.43,0.79,0.41,0.81,0.47,0.81,0.53,0.81,0.47,0.76,0.48,0.76,0.48,0.76,0
