xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
588,1300,598,1300,608,1300,519,1182,581,1182,643,1182,561,1165,580,1165,600,1165,1
3684,1300,3694,1300,3704,1300,3675,923,3724,923,3774,923,3732,907,3751,907,3771,907,1
3643,1340,3650,1340,3658,1340,3539,923,3609,923,3679,923,3550,907,3568,907,3587,907,1
2202,1284,2209,1284,2217,1284,2199,1167,2245,1167,2292,1167,2227,1151,2246,1151,2265,1151,1
2202,1284,2209,1284,2217,1284,2199,1167,2245,1167,2292,1167,2234,1041,2241,1041,2249,1041,1
2037,707,2059,707,2081,707,2030,657,2077,657,2124,657,2033,672,2051,672,2070,672,1
1575,710,1597,710,1620,710,1566,627,1608,627,1651,627,1570,543,1589,543,1608,543,1
1509,705,1521,705,1533,705,1430,692,1522,692,1614,692,1582,673,1601,673,1620,673,1
1509,705,1521,705,1533,705,1430,692,1522,692,1614,692,1503,672,1521,672,1540,672,1
1509,705,1521,705,1533,705,1430,692,1522,692,1614,692,1424,673,1442,673,1461,673,1
2213,707,2235,707,2257,707,2170,657,2217,657,2264,657,2216,672,2234,672,2253,672,1
2741,580,2772,580,2804,580,2724,562,2780,562,2836,562,2753,550,2772,550,2792,550,1
2764,704,2776,704,2788,704,2680,691,2772,691,2864,691,2678,673,2696,673,2715,673,1
2764,704,2776,704,2788,704,2680,691,2772,691,2864,691,2757,671,2776,671,2795,671,1
2764,704,2776,704,2788,704,2680,691,2772,691,2864,691,2837,673,2855,673,2874,673,1
3150,576,3181,576,3213,576,3118,563,3174,563,3230,563,3165,551,3184,551,3204,551,1
2082,575,2152,575,2222,575,867,563,2253,563,3640,563,862,543,892,543,923,543,1
2082,575,2152,575,2222,575,867,563,2253,563,3640,563,3648,549,3673,549,3699,549,1
1524,1333,1532,1333,1540,1333,1518,944,1544,944,1570,944,1528,929,1546,929,1564,929,1
3500,1330,3509,1330,3519,1330,3446,843,3491,843,3536,843,3487,829,3505,829,3524,829,1
791,1334,801,1334,811,1334,758,843,801,843,845,843,830,829,849,829,868,829,1
589,574,620,574,652,574,519,562,617,562,715,562,591,543,616,543,642,543,1
1071,589,1113,589,1156,589,1064,562,1120,562,1176,562,1091,543,1110,543,1130,543,1
1185,588,1224,588,1264,588,1147,562,1215,562,1283,562,1204,543,1223,543,1243,543,1
1474,602,1525,602,1576,602,1471,562,1527,562,1583,562,1494,543,1513,543,1533,543,1
2082,575,2152,575,2222,575,867,563,2253,563,3640,563,862,543,892,543,923,543,1
2082,575,2152,575,2222,575,867,563,2253,563,3640,563,3648,549,3673,549,3699,549,1
3633,590,3675,590,3718,590,3412,563,3593,563,3774,563,3388,543,3418,543,3448,543,1
3715,1327,3724,1327,3734,1327,3702,1121,3721,1121,3740,1121,3736,1105,3755,1105,3775,1105,1
3715,1327,3724,1327,3734,1327,3702,1121,3721,1121,3740,1121,3709,1039,3716,1039,3724,1039,1
703,1338,711,1338,719,1338,615,923,687,923,759,923,706,906,727,906,748,906,1
2034,1938,2256,1938,2479,1938,411,1556,2241,1556,4072,1556,2236,1544,2261,1544,2286,1544,1
2108,2535,2147,2535,2186,2535,2089,2521,2139,2521,2190,2521,2128,2507,2147,2507,2167,2507,1
2416,2535,2494,2535,2572,2535,2230,2521,2486,2521,2743,2521,2469,2507,2493,2507,2518,2507,1
3600,2404,3677,2404,3755,2404,3410,2384,3674,2384,3938,2384,3650,2370,3674,2370,3699,2370,1
721,2266,798,2266,876,2266,542,2245,806,2245,1070,2245,766,2231,790,2231,815,2231,1
1057,3137,1066,3137,1076,3137,1051,2246,1067,2246,1084,2246,1068,2231,1086,2231,1105,2231,1
1217,2319,1224,2319,1232,2319,1196,2245,1221,2245,1247,2245,1198,2231,1217,2231,1236,2231,1
1513,2298,1520,2298,1528,2298,1492,2245,1551,2245,1611,2245,1564,2231,1583,2231,1603,2231,1
1480,2319,1488,2319,1496,2319,1459,2245,1485,2245,1511,2245,1461,2231,1479,2231,1498,2231,1
2201,2954,2281,2954,2361,2954,2089,2682,2406,2682,2724,2682,2681,2507,2700,2507,2720,2507,1
1283,2266,1361,2266,1439,2266,1243,2245,1353,2245,1463,2245,1333,2231,1353,2231,1373,2231,1
2270,2998,2288,2998,2307,2998,2230,2521,2273,2521,2316,2521,2269,2507,2288,2507,2308,2507,1
1134,3403,1141,3403,1149,3403,1133,2245,1157,2245,1181,2245,1137,2231,1156,2231,1176,2231,1
4258,2496,4340,2496,4422,2496,4192,2483,4340,2483,4488,2483,4321,2469,4340,2469,4360,2469,1
