xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
273,3399,285,3399,297,3399,237,3180,287,3180,337,3180,264,3164,287,3164,310,3164,1
398,3363,407,3363,417,3363,368,3136,393,3136,419,3136,382,3121,404,3121,427,3121,1
398,3363,407,3363,417,3363,368,3136,393,3136,419,3136,319,3120,341,3120,364,3120,1
497,3391,509,3391,521,3391,437,3137,499,3137,562,3137,488,3121,511,3121,534,3121,1
760,3391,771,3391,783,3391,696,3136,758,3136,821,3136,746,3120,769,3120,793,3120,1
4006,3397,4017,3397,4029,3397,3997,3136,4068,3136,4140,3136,4085,3121,4108,3121,4132,3121,1
4006,3397,4017,3397,4029,3397,3997,3136,4068,3136,4140,3136,3950,3121,3973,3121,3996,3121,1
3964,3396,3976,3396,3988,3396,3945,3136,3969,3136,3994,3136,3898,3120,3921,3120,3945,3120,1
2178,3340,2187,3340,2197,3340,2157,3136,2202,3136,2247,3136,2180,3120,2202,3120,2225,3120,1
1667,3371,1676,3371,1685,3371,1614,3137,1673,3137,1733,3137,1651,3121,1674,3121,1697,3121,1
660,3377,669,3377,679,3377,616,3137,658,3137,700,3137,589,3121,611,3121,634,3121,1
2914,3368,2923,3368,2932,3368,2878,3135,2923,3135,2968,3135,2900,3119,2922,3119,2945,3119,1
2817,3372,2826,3372,2836,3372,2763,3135,2822,3135,2882,3135,2799,3119,2822,3119,2846,3119,1
593,3345,604,3345,616,3345,558,3137,600,3137,642,3137,646,3121,668,3121,691,3121,1
2366,1015,2373,1015,2381,1015,2343,784,2373,784,2404,784,2352,773,2373,773,2395,773,1
2430,1001,2438,1001,2446,1001,2400,760,2425,760,2450,760,2403,748,2425,748,2448,748,1
3246,272,3297,272,3349,272,3242,254,3301,254,3360,254,3279,242,3301,242,3324,242,1
4018,1017,4028,1017,4038,1017,4008,784,4039,784,4070,784,4017,773,4039,773,4061,773,1
4018,1017,4028,1017,4038,1017,4008,784,4039,784,4070,784,4023,680,4031,680,4040,680,1
3890,1059,3898,1059,3906,1059,3859,834,3895,834,3932,834,3874,822,3895,822,3917,822,1
3890,1059,3898,1059,3906,1059,3859,834,3895,834,3932,834,3861,777,3870,777,3879,777,1
3890,1059,3898,1059,3906,1059,3859,834,3895,834,3932,834,3861,689,3870,689,3879,689,1
3616,1024,3624,1024,3632,1024,3592,784,3622,784,3653,784,3600,773,3621,773,3643,773,1
3616,1024,3624,1024,3632,1024,3592,784,3622,784,3653,784,3627,687,3635,687,3644,687,1
3293,1024,3301,1024,3309,1024,3270,784,3301,784,3332,784,3280,773,3301,773,3323,773,1
3293,1024,3301,1024,3309,1024,3270,784,3301,784,3332,784,3303,682,3311,682,3320,682,1
3954,268,4011,268,4068,268,3902,254,4014,254,4127,254,3992,242,4014,242,4037,242,1
3660,268,3741,268,3822,268,3586,254,3746,254,3906,254,3731,242,3753,242,3775,242,1
3394,270,3469,270,3544,270,3356,254,3473,254,3590,254,3451,242,3474,242,3497,242,1
3774,1053,3784,1053,3794,1053,3693,535,3766,535,3840,535,3744,523,3766,523,3789,523,1
3443,1011,3453,1011,3464,1011,3348,535,3450,535,3553,535,3428,523,3450,523,3473,523,1
1773,268,1847,268,1922,268,1536,254,1852,254,2169,254,1824,242,1852,242,1881,242,1
711,1017,721,1017,731,1017,620,884,694,884,768,884,671,872,693,872,716,872,1
1393,268,1444,268,1496,268,1387,254,1446,254,1506,254,1424,242,1446,242,1469,242,1
672,268,729,268,786,268,620,254,732,254,845,254,710,242,732,242,755,242,1
914,268,995,268,1076,268,841,254,1001,254,1161,254,979,242,1001,242,1024,242,1
1193,268,1268,268,1343,268,1157,254,1274,254,1391,254,1251,242,1274,242,1297,242,1
760,1067,768,1067,776,1067,735,510,765,510,796,510,744,498,765,498,787,498,1
845,1059,853,1059,861,1059,792,884,851,884,911,884,832,872,854,872,877,872,1
988,1053,998,1053,1008,1053,907,884,981,884,1055,884,966,872,988,872,1011,872,1
988,1053,998,1053,1008,1053,907,884,981,884,1055,884,942,688,951,688,960,688,1
1114,1024,1122,1024,1130,1024,1051,884,1124,884,1198,884,1110,872,1132,872,1155,872,1
1317,1030,1325,1030,1333,1030,1194,884,1297,884,1400,884,1283,872,1305,872,1328,872,1
1317,1030,1325,1030,1333,1030,1194,884,1297,884,1400,884,1308,682,1317,682,1326,682,1
1442,1024,1449,1024,1457,1024,1396,884,1446,884,1497,884,1431,872,1452,872,1474,872,1
2273,270,2360,270,2447,270,2209,249,2373,249,2538,249,2347,242,2369,242,2392,242,1
2273,270,2360,270,2447,270,2209,249,2373,249,2538,249,2541,242,2563,242,2586,242,1
2815,268,2890,268,2965,268,2579,254,2895,254,3211,254,2867,242,2895,242,2923,242,1
2315,205,2369,205,2423,205,620,193,2373,193,4127,193,2346,181,2375,181,2404,181,1
979,3444,988,3444,997,3444,932,3137,985,3137,1038,3137,875,3121,898,3121,922,3121,1
979,3444,988,3444,997,3444,932,3137,985,3137,1038,3137,962,3121,984,3121,1007,3121,1
1060,3413,1069,3413,1078,3413,1012,3137,1057,3137,1102,3137,1034,3121,1056,3121,1079,3121,1
3539,3389,3551,3389,3563,3389,3486,3135,3560,3135,3634,3135,3536,3119,3559,3119,3583,3119,1
1385,3424,1394,3424,1403,3424,1098,3137,1358,3137,1618,3137,1335,3121,1358,3121,1381,3121,1
3446,3353,3455,3353,3464,3353,3418,3135,3465,3135,3512,3135,3361,3119,3384,3119,3408,3119,1
3446,3353,3455,3353,3464,3353,3418,3135,3465,3135,3512,3135,3442,3119,3465,3119,3488,3119,1
2583,3347,2592,3347,2602,3347,2418,3135,2592,3135,2767,3135,2569,3119,2592,3119,2616,3119,1
2977,3424,2986,3424,2996,3424,2964,3135,2995,3135,3027,3135,2984,3119,3006,3119,3029,3119,1
4044,1712,4053,1712,4062,1712,4032,1603,4321,1603,4610,1603,4316,1586,4345,1586,4375,1586,1
4044,1712,4053,1712,4062,1712,4032,1603,4321,1603,4610,1603,4085,677,4094,677,4103,677,1
2534,2399,2565,2399,2596,2399,2459,2382,2565,2382,2672,2382,2542,2366,2565,2366,2589,2366,1
2329,2399,2360,2399,2391,2399,2258,2382,2360,2382,2463,2382,2337,2366,2360,2366,2383,2366,1
1799,2399,1830,2399,1862,2399,1724,2382,1830,2382,1937,2382,1807,2366,1830,2366,1854,2366,1
2009,2399,2040,2399,2071,2399,1933,2382,2040,2382,2147,2382,2017,2366,2040,2366,2063,2366,1
814,2298,981,2298,1148,2298,225,2281,976,2281,1728,2281,946,2265,976,2265,1007,2265,1
1771,2298,1938,2298,2106,2298,1724,2281,1935,2281,2147,2281,1912,2265,1935,2265,1958,2265,1
2425,2298,2592,2298,2760,2298,2258,2281,2570,2281,2882,2281,2540,2265,2569,2265,2599,2265,1
3308,2298,3475,2298,3642,2298,2896,2216,3466,2216,4036,2216,3426,2265,3456,2265,3487,2265,1
2744,2399,2775,2399,2806,2399,2668,2382,2775,2382,2882,2382,2751,2366,2774,2366,2798,2366,1
4272,2399,4321,2399,4370,2399,4032,2382,4321,2382,4610,2382,4291,2366,4320,2366,4350,2366,1
3104,2404,3207,2404,3311,2404,3080,2382,3201,2382,3323,2382,3178,2366,3202,2366,3226,2366,1
3651,3360,3660,3360,3669,3360,3630,3135,3666,3135,3703,3135,3643,3119,3665,3119,3688,3119,1
3815,3389,3826,3389,3838,3389,3772,3136,3835,3136,3898,3136,3800,3120,3823,3120,3847,3120,1
3712,3388,3723,3388,3735,3388,3670,3173,3723,3173,3777,3173,3701,3157,3723,3157,3746,3157,1
398,3363,407,3363,417,3363,368,3136,393,3136,419,3136,264,3164,287,3164,310,3164,0
398,3363,407,3363,417,3363,368,3136,393,3136,419,3136,488,3121,511,3121,534,3121,0
497,3391,509,3391,521,3391,437,3137,499,3137,562,3137,319,3120,341,3120,364,3120,0
760,3391,771,3391,783,3391,696,3136,758,3136,821,3136,4085,3121,4108,3121,4132,3121,0
4006,3397,4017,3397,4029,3397,3997,3136,4068,3136,4140,3136,746,3120,769,3120,793,3120,0
4006,3397,4017,3397,4029,3397,3997,3136,4068,3136,4140,3136,3898,3120,3921,3120,3945,3120,0
3964,3396,3976,3396,3988,3396,3945,3136,3969,3136,3994,3136,3950,3121,3973,3121,3996,3121,0
2178,3340,2187,3340,2197,3340,2157,3136,2202,3136,2247,3136,1651,3121,1674,3121,1697,3121,0
1667,3371,1676,3371,1685,3371,1614,3137,1673,3137,1733,3137,2180,3120,2202,3120,2225,3120,0
660,3377,669,3377,679,3377,616,3137,658,3137,700,3137,2900,3119,2922,3119,2945,3119,0
2914,3368,2923,3368,2932,3368,2878,3135,2923,3135,2968,3135,589,3121,611,3121,634,3121,0
2817,3372,2826,3372,2836,3372,2763,3135,2822,3135,2882,3135,646,3121,668,3121,691,3121,0
593,3345,604,3345,616,3345,558,3137,600,3137,642,3137,2799,3119,2822,3119,2846,3119,0
2366,1015,2373,1015,2381,1015,2343,784,2373,784,2404,784,2403,748,2425,748,2448,748,0
2430,1001,2438,1001,2446,1001,2400,760,2425,760,2450,760,2352,773,2373,773,2395,773,0
3246,272,3297,272,3349,272,3242,254,3301,254,3360,254,4017,773,4039,773,4061,773,0
4018,1017,4028,1017,4038,1017,4008,784,4039,784,4070,784,3279,242,3301,242,3324,242,0
4018,1017,4028,1017,4038,1017,4008,784,4039,784,4070,784,3874,822,3895,822,3917,822,0
3890,1059,3898,1059,3906,1059,3859,834,3895,834,3932,834,4023,680,4031,680,4040,680,0
3890,1059,3898,1059,3906,1059,3859,834,3895,834,3932,834,3600,773,3621,773,3643,773,0
3616,1024,3624,1024,3632,1024,3592,784,3622,784,3653,784,3861,777,3870,777,3879,777,0
3616,1024,3624,1024,3632,1024,3592,784,3622,784,3653,784,3861,689,3870,689,3879,689,0
3616,1024,3624,1024,3632,1024,3592,784,3622,784,3653,784,3280,773,3301,773,3323,773,0
3293,1024,3301,1024,3309,1024,3270,784,3301,784,3332,784,3600,773,3621,773,3643,773,0
3293,1024,3301,1024,3309,1024,3270,784,3301,784,3332,784,3627,687,3635,687,3644,687,0
3293,1024,3301,1024,3309,1024,3270,784,3301,784,3332,784,3992,242,4014,242,4037,242,0
3954,268,4011,268,4068,268,3902,254,4014,254,4127,254,3280,773,3301,773,3323,773,0
3954,268,4011,268,4068,268,3902,254,4014,254,4127,254,3303,682,3311,682,3320,682,0
3954,268,4011,268,4068,268,3902,254,4014,254,4127,254,3731,242,3753,242,3775,242,0
3660,268,3741,268,3822,268,3586,254,3746,254,3906,254,3992,242,4014,242,4037,242,0
3394,270,3469,270,3544,270,3356,254,3473,254,3590,254,3744,523,3766,523,3789,523,0
3774,1053,3784,1053,3794,1053,3693,535,3766,535,3840,535,3451,242,3474,242,3497,242,0
3443,1011,3453,1011,3464,1011,3348,535,3450,535,3553,535,1824,242,1852,242,1881,242,0
1773,268,1847,268,1922,268,1536,254,1852,254,2169,254,3428,523,3450,523,3473,523,0
711,1017,721,1017,731,1017,620,884,694,884,768,884,1424,242,1446,242,1469,242,0
1393,268,1444,268,1496,268,1387,254,1446,254,1506,254,671,872,693,872,716,872,0
672,268,729,268,786,268,620,254,732,254,845,254,979,242,1001,242,1024,242,0
914,268,995,268,1076,268,841,254,1001,254,1161,254,710,242,732,242,755,242,0
1193,268,1268,268,1343,268,1157,254,1274,254,1391,254,744,498,765,498,787,498,0
760,1067,768,1067,776,1067,735,510,765,510,796,510,1251,242,1274,242,1297,242,0
845,1059,853,1059,861,1059,792,884,851,884,911,884,966,872,988,872,1011,872,0
988,1053,998,1053,1008,1053,907,884,981,884,1055,884,832,872,854,872,877,872,0
988,1053,998,1053,1008,1053,907,884,981,884,1055,884,1110,872,1132,872,1155,872,0
1114,1024,1122,1024,1130,1024,1051,884,1124,884,1198,884,942,688,951,688,960,688,0
1317,1030,1325,1030,1333,1030,1194,884,1297,884,1400,884,1431,872,1452,872,1474,872,0
1442,1024,1449,1024,1457,1024,1396,884,1446,884,1497,884,1283,872,1305,872,1328,872,0
1442,1024,1449,1024,1457,1024,1396,884,1446,884,1497,884,1308,682,1317,682,1326,682,0
1442,1024,1449,1024,1457,1024,1396,884,1446,884,1497,884,2347,242,2369,242,2392,242,0
2273,270,2360,270,2447,270,2209,249,2373,249,2538,249,1431,872,1452,872,1474,872,0
2273,270,2360,270,2447,270,2209,249,2373,249,2538,249,2867,242,2895,242,2923,242,0
2815,268,2890,268,2965,268,2579,254,2895,254,3211,254,2541,242,2563,242,2586,242,0
2315,205,2369,205,2423,205,620,193,2373,193,4127,193,875,3121,898,3121,922,3121,0
979,3444,988,3444,997,3444,932,3137,985,3137,1038,3137,2346,181,2375,181,2404,181,0
979,3444,988,3444,997,3444,932,3137,985,3137,1038,3137,1034,3121,1056,3121,1079,3121,0
1060,3413,1069,3413,1078,3413,1012,3137,1057,3137,1102,3137,962,3121,984,3121,1007,3121,0
3539,3389,3551,3389,3563,3389,3486,3135,3560,3135,3634,3135,1335,3121,1358,3121,1381,3121,0
1385,3424,1394,3424,1403,3424,1098,3137,1358,3137,1618,3137,3536,3119,3559,3119,3583,3119,0
3446,3353,3455,3353,3464,3353,3418,3135,3465,3135,3512,3135,2569,3119,2592,3119,2616,3119,0
2583,3347,2592,3347,2602,3347,2418,3135,2592,3135,2767,3135,3361,3119,3384,3119,3408,3119,0
2583,3347,2592,3347,2602,3347,2418,3135,2592,3135,2767,3135,3442,3119,3465,3119,3488,3119,0
2583,3347,2592,3347,2602,3347,2418,3135,2592,3135,2767,3135,2984,3119,3006,3119,3029,3119,0
2977,3424,2986,3424,2996,3424,2964,3135,2995,3135,3027,3135,2569,3119,2592,3119,2616,3119,0
4044,1712,4053,1712,4062,1712,4032,1603,4321,1603,4610,1603,2542,2366,2565,2366,2589,2366,0
2534,2399,2565,2399,2596,2399,2459,2382,2565,2382,2672,2382,4316,1586,4345,1586,4375,1586,0
2534,2399,2565,2399,2596,2399,2459,2382,2565,2382,2672,2382,4085,677,4094,677,4103,677,0
2534,2399,2565,2399,2596,2399,2459,2382,2565,2382,2672,2382,2337,2366,2360,2366,2383,2366,0
2329,2399,2360,2399,2391,2399,2258,2382,2360,2382,2463,2382,2542,2366,2565,2366,2589,2366,0
1799,2399,1830,2399,1862,2399,1724,2382,1830,2382,1937,2382,2017,2366,2040,2366,2063,2366,0
2009,2399,2040,2399,2071,2399,1933,2382,2040,2382,2147,2382,1807,2366,1830,2366,1854,2366,0
814,2298,981,2298,1148,2298,225,2281,976,2281,1728,2281,1912,2265,1935,2265,1958,2265,0
1771,2298,1938,2298,2106,2298,1724,2281,1935,2281,2147,2281,946,2265,976,2265,1007,2265,0
2425,2298,2592,2298,2760,2298,2258,2281,2570,2281,2882,2281,3426,2265,3456,2265,3487,2265,0
3308,2298,3475,2298,3642,2298,2896,2216,3466,2216,4036,2216,2540,2265,2569,2265,2599,2265,0
2744,2399,2775,2399,2806,2399,2668,2382,2775,2382,2882,2382,4291,2366,4320,2366,4350,2366,0
4272,2399,4321,2399,4370,2399,4032,2382,4321,2382,4610,2382,2751,2366,2774,2366,2798,2366,0
3104,2404,3207,2404,3311,2404,3080,2382,3201,2382,3323,2382,3643,3119,3665,3119,3688,3119,0
3651,3360,3660,3360,3669,3360,3630,3135,3666,3135,3703,3135,3178,2366,3202,2366,3226,2366,0
3815,3389,3826,3389,3838,3389,3772,3136,3835,3136,3898,3136,3701,3157,3723,3157,3746,3157,0
3712,3388,3723,3388,3735,3388,3670,3173,3723,3173,3777,3173,3800,3120,3823,3120,3847,3120,0
