xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
0.84,0.93,0.84,0.93,0.84,0.93,0.84,0.88,0.85,0.88,0.86,0.88,0.85,0.88,0.85,0.88,0.86,0.88,1
0.84,0.93,0.84,0.93,0.84,0.93,0.84,0.88,0.85,0.88,0.86,0.88,0.83,0.88,0.83,0.88,0.84,0.88,1
0.90,0.67,0.90,0.67,0.90,0.67,0.84,0.62,0.90,0.62,0.96,0.62,0.90,0.61,0.90,0.61,0.91,0.61,1
0.49,0.26,0.49,0.26,0.50,0.26,0.49,0.20,0.49,0.20,0.50,0.20,0.49,0.20,0.49,0.20,0.50,0.20,1
0.50,0.25,0.51,0.25,0.51,0.25,0.50,0.19,0.50,0.19,0.51,0.19,0.50,0.19,0.50,0.19,0.51,0.19,1
0.66,0.07,0.67,0.07,0.68,0.07,0.66,0.06,0.67,0.06,0.69,0.06,0.67,0.06,0.67,0.06,0.68,0.06,1
0.81,0.26,0.82,0.26,0.82,0.26,0.81,0.20,0.82,0.20,0.82,0.20,0.81,0.20,0.82,0.20,0.82,0.20,1
0.81,0.26,0.82,0.26,0.82,0.26,0.81,0.20,0.82,0.20,0.82,0.20,0.82,0.17,0.82,0.17,0.82,0.17,1
0.79,0.27,0.79,0.27,0.79,0.27,0.78,0.21,0.79,0.21,0.80,0.21,0.79,0.21,0.79,0.21,0.79,0.21,1
0.79,0.27,0.79,0.27,0.79,0.27,0.78,0.21,0.79,0.21,0.80,0.21,0.78,0.20,0.79,0.20,0.79,0.20,1
0.79,0.27,0.79,0.27,0.79,0.27,0.78,0.21,0.79,0.21,0.80,0.21,0.78,0.17,0.79,0.17,0.79,0.17,1
0.74,0.26,0.74,0.26,0.74,0.26,0.73,0.20,0.74,0.20,0.74,0.20,0.73,0.20,0.74,0.20,0.74,0.20,1
0.74,0.26,0.74,0.26,0.74,0.26,0.73,0.20,0.74,0.20,0.74,0.20,0.74,0.17,0.74,0.17,0.74,0.17,1
0.67,0.26,0.67,0.26,0.68,0.26,0.67,0.20,0.67,0.20,0.68,0.20,0.67,0.20,0.67,0.20,0.68,0.20,1
0.67,0.26,0.67,0.26,0.68,0.26,0.67,0.20,0.67,0.20,0.68,0.20,0.67,0.17,0.68,0.17,0.68,0.17,1
0.80,0.07,0.81,0.07,0.82,0.07,0.79,0.06,0.81,0.06,0.84,0.06,0.81,0.06,0.81,0.06,0.82,0.06,1
0.74,0.07,0.76,0.07,0.78,0.07,0.73,0.06,0.76,0.06,0.79,0.06,0.76,0.06,0.76,0.06,0.77,0.06,1
0.69,0.07,0.71,0.07,0.72,0.07,0.69,0.06,0.71,0.06,0.73,0.06,0.70,0.06,0.71,0.06,0.71,0.06,1
0.77,0.27,0.77,0.27,0.77,0.27,0.75,0.14,0.77,0.14,0.78,0.14,0.76,0.13,0.77,0.13,0.77,0.13,1
0.70,0.26,0.70,0.26,0.71,0.26,0.68,0.14,0.70,0.14,0.72,0.14,0.70,0.13,0.70,0.13,0.71,0.13,1
