xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
224,3794,233,3794,242,3794,194,3572,224,3572,254,3572,196,3557,218,3557,240,3557,1
260,3780,269,3780,278,3780,233,3522,268,3522,304,3522,247,3507,268,3507,290,3507,1
356,3805,367,3805,379,3805,300,3522,371,3522,443,3522,349,3507,371,3507,394,3507,1
449,3760,460,3760,472,3760,439,3522,469,3522,499,3522,448,3507,469,3507,491,3507,1
518,3792,527,3792,536,3792,495,3522,525,3522,555,3522,503,3507,525,3507,547,3507,1
611,3805,622,3805,634,3805,551,3522,623,3522,695,3522,600,3507,623,3507,646,3507,1
734,3770,743,3770,752,3770,691,3522,748,3522,806,3522,726,3507,748,3507,771,3507,1
861,3787,870,3787,879,3787,802,3522,860,3522,918,3522,837,3507,860,3507,883,3507,1
2398,913,2406,913,2414,913,2386,678,2406,678,2427,678,2385,671,2405,671,2426,671,1
2461,899,2468,899,2476,899,2432,658,2456,658,2481,658,2435,646,2456,646,2478,646,1
3254,169,3304,169,3354,169,3250,152,3307,152,3365,152,3285,139,3307,139,3329,139,1
3254,169,3304,169,3354,169,3250,152,3307,152,3365,152,3213,139,3234,139,3256,139,1
4003,915,4013,915,4023,915,3994,683,4024,683,4054,683,4003,671,4024,671,4045,671,1
4003,915,4013,915,4023,915,3994,683,4024,683,4054,683,4008,578,4016,578,4025,578,1
3880,957,3887,957,3895,957,3849,732,3884,732,3920,732,3864,720,3885,720,3906,720,1
3880,957,3887,957,3895,957,3849,732,3884,732,3920,732,3852,675,3860,675,3869,675,1
3880,957,3887,957,3895,957,3849,732,3884,732,3920,732,3852,587,3860,587,3869,587,1
3613,922,3621,922,3629,922,3590,683,3619,683,3649,683,3597,671,3618,671,3639,671,1
3613,922,3621,922,3629,922,3590,683,3619,683,3649,683,3624,585,3632,585,3641,585,1
3299,922,3307,922,3315,922,3277,683,3307,683,3337,683,3286,671,3307,671,3328,671,1
3299,922,3307,922,3315,922,3277,683,3307,683,3337,683,3309,580,3317,580,3326,580,1
3942,165,3997,165,4052,165,3891,152,4000,152,4110,152,3979,139,4000,139,4022,139,1
3655,166,3734,166,3813,166,3584,152,3739,152,3895,152,3725,139,3746,139,3768,139,1
3397,167,3470,167,3543,167,3361,152,3474,152,3588,152,3453,139,3475,139,3497,139,1
3766,951,3776,951,3786,951,3687,433,3759,433,3831,433,3737,420,3759,420,3781,420,1
3445,909,3455,909,3465,909,3353,433,3452,433,3552,433,3431,420,3452,420,3474,420,1
1822,165,1894,165,1967,165,1592,152,1899,152,2207,152,1872,139,1899,139,1927,139,1
1822,165,1894,165,1967,165,1592,152,1899,152,2207,152,1556,139,1577,139,1599,139,1
790,915,800,915,810,915,703,782,774,782,846,782,752,770,774,770,796,770,1
1453,165,1503,165,1553,165,1447,152,1505,152,1563,152,1483,139,1505,139,1527,139,1
753,165,808,165,864,165,703,152,812,152,921,152,790,139,812,139,834,139,1
988,165,1067,165,1146,165,917,152,1072,152,1228,152,1051,139,1072,139,1094,139,1
1259,165,1331,165,1404,165,1224,152,1337,152,1451,152,1316,139,1338,139,1360,139,1
838,965,845,965,853,965,814,408,844,408,874,408,823,396,844,396,865,396,1
921,957,928,957,936,957,870,782,928,782,986,782,908,770,930,770,952,770,1
1059,951,1069,951,1079,951,982,782,1053,782,1125,782,1039,770,1060,770,1082,770,1
1059,951,1069,951,1079,951,982,782,1053,782,1125,782,1015,586,1024,586,1033,586,1
1182,922,1190,922,1198,922,1121,782,1193,782,1265,782,1178,770,1200,770,1222,770,1
1380,928,1387,928,1395,928,1261,782,1360,782,1460,782,1347,770,1368,770,1390,770,1
1380,928,1387,928,1395,928,1261,782,1360,782,1460,782,1371,580,1379,580,1388,580,1
1500,922,1508,922,1516,922,1456,782,1505,782,1554,782,1490,770,1511,770,1532,770,1
2308,167,2392,167,2477,167,2237,152,2406,152,2576,152,2380,139,2402,139,2424,139,1
