xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
0.04,0.96,0.05,0.96,0.05,0.96,0.04,0.91,0.04,0.91,0.05,0.91,0.04,0.90,0.04,0.90,0.05,0.90,1
0.05,0.96,0.05,0.96,0.06,0.96,0.05,0.89,0.05,0.89,0.06,0.89,0.05,0.89,0.05,0.89,0.06,0.89,1
0.07,0.97,0.07,0.97,0.08,0.97,0.06,0.89,0.07,0.89,0.09,0.89,0.07,0.89,0.07,0.89,0.08,0.89,1
0.09,0.95,0.09,0.95,0.09,0.95,0.09,0.89,0.09,0.89,0.10,0.89,0.09,0.89,0.09,0.89,0.10,0.89,1
0.10,0.96,0.11,0.96,0.11,0.96,0.10,0.89,0.10,0.89,0.11,0.89,0.10,0.89,0.10,0.89,0.11,0.89,1
0.12,0.97,0.12,0.97,0.13,0.97,0.11,0.89,0.12,0.89,0.14,0.89,0.12,0.89,0.12,0.89,0.13,0.89,1
0.15,0.96,0.15,0.96,0.15,0.96,0.14,0.89,0.15,0.89,0.16,0.89,0.15,0.89,0.15,0.89,0.15,0.89,1
0.17,0.96,0.17,0.96,0.18,0.96,0.16,0.89,0.17,0.89,0.18,0.89,0.17,0.89,0.17,0.89,0.18,0.89,1
0.48,0.23,0.48,0.23,0.48,0.23,0.48,0.17,0.48,0.17,0.49,0.17,0.48,0.17,0.48,0.17,0.49,0.17,1
0.49,0.23,0.49,0.23,0.50,0.23,0.49,0.17,0.49,0.17,0.50,0.17,0.49,0.16,0.49,0.16,0.50,0.16,1
0.65,0.04,0.66,0.04,0.67,0.04,0.65,0.04,0.66,0.04,0.67,0.04,0.66,0.04,0.66,0.04,0.67,0.04,1
0.65,0.04,0.66,0.04,0.67,0.04,0.65,0.04,0.66,0.04,0.67,0.04,0.64,0.04,0.65,0.04,0.65,0.04,1
0.80,0.23,0.80,0.23,0.80,0.23,0.80,0.17,0.80,0.17,0.81,0.17,0.80,0.17,0.80,0.17,0.81,0.17,1
0.80,0.23,0.80,0.23,0.80,0.23,0.80,0.17,0.80,0.17,0.81,0.17,0.80,0.15,0.80,0.15,0.81,0.15,1
0.78,0.24,0.78,0.24,0.78,0.24,0.77,0.19,0.78,0.19,0.78,0.19,0.77,0.18,0.78,0.18,0.78,0.18,1
0.78,0.24,0.78,0.24,0.78,0.24,0.77,0.19,0.78,0.19,0.78,0.19,0.77,0.17,0.77,0.17,0.77,0.17,1
0.78,0.24,0.78,0.24,0.78,0.24,0.77,0.19,0.78,0.19,0.78,0.19,0.77,0.15,0.77,0.15,0.77,0.15,1
0.72,0.23,0.72,0.23,0.73,0.23,0.72,0.17,0.72,0.17,0.73,0.17,0.72,0.17,0.72,0.17,0.73,0.17,1
0.72,0.23,0.72,0.23,0.73,0.23,0.72,0.17,0.72,0.17,0.73,0.17,0.72,0.15,0.73,0.15,0.73,0.15,1
0.66,0.23,0.66,0.23,0.66,0.23,0.66,0.17,0.66,0.17,0.67,0.17,0.66,0.17,0.66,0.17,0.67,0.17,1
0.66,0.23,0.66,0.23,0.66,0.23,0.66,0.17,0.66,0.17,0.67,0.17,0.66,0.15,0.66,0.15,0.67,0.15,1
0.79,0.04,0.80,0.04,0.81,0.04,0.78,0.04,0.80,0.04,0.82,0.04,0.80,0.04,0.80,0.04,0.80,0.04,1
0.73,0.04,0.75,0.04,0.76,0.04,0.72,0.04,0.75,0.04,0.78,0.04,0.74,0.04,0.75,0.04,0.75,0.04,1
0.68,0.04,0.69,0.04,0.71,0.04,0.67,0.04,0.69,0.04,0.72,0.04,0.69,0.04,0.69,0.04,0.70,0.04,1
0.75,0.24,0.76,0.24,0.76,0.24,0.74,0.11,0.75,0.11,0.77,0.11,0.75,0.11,0.75,0.11,0.76,0.11,1
0.69,0.23,0.69,0.23,0.69,0.23,0.67,0.11,0.69,0.11,0.71,0.11,0.69,0.11,0.69,0.11,0.69,0.11,1
0.36,0.04,0.38,0.04,0.39,0.04,0.32,0.04,0.38,0.04,0.44,0.04,0.37,0.04,0.38,0.04,0.39,0.04,1
0.36,0.04,0.38,0.04,0.39,0.04,0.32,0.04,0.38,0.04,0.44,0.04,0.31,0.04,0.32,0.04,0.32,0.04,1
0.16,0.23,0.16,0.23,0.16,0.23,0.14,0.20,0.15,0.20,0.17,0.20,0.15,0.20,0.15,0.20,0.16,0.20,1
0.29,0.04,0.30,0.04,0.31,0.04,0.29,0.04,0.30,0.04,0.31,0.04,0.30,0.04,0.30,0.04,0.31,0.04,1
0.15,0.04,0.16,0.04,0.17,0.04,0.14,0.04,0.16,0.04,0.18,0.04,0.16,0.04,0.16,0.04,0.17,0.04,1
0.20,0.04,0.21,0.04,0.23,0.04,0.18,0.04,0.21,0.04,0.25,0.04,0.21,0.04,0.21,0.04,0.22,0.04,1
0.25,0.04,0.27,0.04,0.28,0.04,0.24,0.04,0.27,0.04,0.29,0.04,0.26,0.04,0.27,0.04,0.27,0.04,1
0.17,0.25,0.17,0.25,0.17,0.25,0.16,0.10,0.17,0.10,0.17,0.10,0.16,0.10,0.17,0.10,0.17,0.10,1
0.18,0.24,0.19,0.24,0.19,0.24,0.17,0.20,0.19,0.20,0.20,0.20,0.18,0.20,0.19,0.20,0.19,0.20,1
0.21,0.24,0.21,0.24,0.22,0.24,0.20,0.20,0.21,0.20,0.23,0.20,0.21,0.20,0.21,0.20,0.22,0.20,1
0.21,0.24,0.21,0.24,0.22,0.24,0.20,0.20,0.21,0.20,0.23,0.20,0.20,0.15,0.20,0.15,0.21,0.15,1
0.24,0.23,0.24,0.23,0.24,0.23,0.22,0.20,0.24,0.20,0.25,0.20,0.24,0.20,0.24,0.20,0.24,0.20,1
0.28,0.24,0.28,0.24,0.28,0.24,0.25,0.20,0.27,0.20,0.29,0.20,0.27,0.20,0.27,0.20,0.28,0.20,1
0.28,0.24,0.28,0.24,0.28,0.24,0.25,0.20,0.27,0.20,0.29,0.20,0.27,0.15,0.28,0.15,0.28,0.15,1
0.30,0.23,0.30,0.23,0.30,0.23,0.29,0.20,0.30,0.20,0.31,0.20,0.30,0.20,0.30,0.20,0.31,0.20,1
0.46,0.04,0.48,0.04,0.50,0.04,0.45,0.04,0.48,0.04,0.52,0.04,0.48,0.04,0.48,0.04,0.48,0.04,1
0.57,0.04,0.58,0.04,0.60,0.04,0.52,0.04,0.58,0.04,0.64,0.04,0.58,0.04,0.58,0.04,0.59,0.04,1
0.47,0.03,0.48,0.03,0.49,0.03,0.14,0.02,0.48,0.02,0.82,0.02,0.48,0.02,0.48,0.02,0.49,0.02,1
0.19,0.98,0.19,0.98,0.19,0.98,0.18,0.89,0.19,0.89,0.19,0.89,0.19,0.89,0.20,0.89,0.20,0.89,1
0.19,0.98,0.19,0.98,0.19,0.98,0.18,0.89,0.19,0.89,0.19,0.89,0.18,0.89,0.19,0.89,0.19,0.89,1
0.32,0.93,0.33,0.93,0.33,0.93,0.31,0.89,0.32,0.89,0.34,0.89,0.32,0.89,0.32,0.89,0.33,0.89,1
0.60,0.96,0.61,0.96,0.61,0.96,0.60,0.90,0.61,0.90,0.62,0.90,0.60,0.90,0.61,0.90,0.61,0.90,1
0.54,0.96,0.55,0.96,0.55,0.96,0.52,0.89,0.55,0.89,0.58,0.89,0.54,0.89,0.55,0.89,0.55,0.89,1
