xmin,ymin,x,y,xmax,ymax,x1min,y1min,x1,y1,x1max,y1max,x2min,y2min,x2,y2,x2max,y2max,output
1428,618,1566,618,1704,618,1385,593,1549,593,1714,593,1520,574,1548,574,1577,574,1
1913,615,1948,615,1984,615,1710,593,1935,593,2161,593,1916,574,1944,574,1973,574,1
2360,615,2395,615,2431,615,2157,593,2382,593,2608,593,2362,572,2391,572,2420,572,1
2636,614,2773,614,2911,614,2604,593,2768,593,2932,593,2757,574,2786,574,2815,574,1
2100,560,2206,560,2312,560,1710,539,2159,539,2608,539,2129,520,2157,520,2186,520,1
544,1506,555,1506,567,1506,478,1285,554,1285,630,1285,542,1268,567,1268,593,1268,1
544,1506,555,1506,567,1506,478,1285,554,1285,630,1285,486,1192,495,1192,504,1192,1
544,1506,555,1506,567,1506,478,1285,554,1285,630,1285,484,1055,493,1055,502,1055,1
775,1490,786,1490,798,1490,730,1366,793,1366,856,1366,776,1348,801,1348,827,1348,1
775,1490,786,1490,798,1490,730,1366,793,1366,856,1366,741,1144,749,1144,758,1144,1
1510,1506,1521,1506,1533,1506,1440,1412,1503,1412,1567,1412,1487,1394,1512,1394,1538,1394,1
1510,1506,1521,1506,1533,1506,1440,1412,1503,1412,1567,1412,1508,1204,1517,1204,1526,1204,1
3747,1507,3758,1507,3770,1507,3687,1301,3763,1301,3839,1301,3734,1284,3755,1284,3777,1284,1
3747,1507,3758,1507,3770,1507,3687,1301,3763,1301,3839,1301,3784,1209,3793,1209,3802,1209,1
3747,1507,3758,1507,3770,1507,3687,1301,3763,1301,3839,1301,3786,1070,3794,1070,3803,1070,1
3504,1491,3515,1491,3527,1491,3447,1386,3510,1386,3574,1386,3500,1369,3522,1369,3544,1369,1
3504,1491,3515,1491,3527,1491,3447,1386,3510,1386,3574,1386,3529,1167,3538,1167,3547,1167,1
2789,1532,2800,1532,2812,1532,2751,1438,2814,1438,2877,1438,2790,1420,2811,1420,2833,1420,1
2789,1532,2800,1532,2812,1532,2751,1438,2814,1438,2877,1438,2765,1218,2774,1218,2783,1218,1
3964,1506,3978,1506,3992,1506,3940,1240,3984,1240,4029,1240,3960,1221,3984,1221,4008,1221,1
3964,1506,3978,1506,3992,1506,3940,1240,3984,1240,4029,1240,3970,1066,3979,1066,3988,1066,1
3860,1499,3874,1499,3889,1499,3835,1272,3889,1272,3944,1272,3865,1253,3889,1253,3913,1253,1
